"Index","AMAZ.Open","AMAZ.High","AMAZ.Low","AMAZ.Close","AMAZ.Volume"
2009-06-19,0.6,0.6,0.6,0.6,150
2009-06-22,0.64,0.64,0.64,0.64,125
2009-06-23,0.56,0.56,0.56,0.56,125
2009-06-24,NA,NA,NA,0.56,0
2009-06-25,NA,NA,NA,0.56,0
2009-06-26,NA,NA,NA,0.56,0
2009-06-29,NA,NA,NA,0.56,0
2009-06-30,NA,NA,NA,0.56,0
2009-07-01,0.52,0.52,0.4,0.4,625
2009-07-02,0.64,0.64,0.64,0.64,25
2009-07-06,NA,NA,NA,0.64,0
2009-07-07,NA,NA,NA,0.64,0
2009-07-08,0.6,0.6,0.6,0.6,312
2009-07-09,0.6,0.6,0.6,0.6,100
2009-07-10,0.6,0.6,0.59,0.59,383
2009-07-13,NA,NA,NA,0.59,0
2009-07-14,NA,NA,NA,0.59,0
2009-07-15,0.4,0.4,0.4,0.4,125
2009-07-16,0.56,0.56,0.56,0.56,25
2009-07-17,NA,NA,NA,0.56,0
2009-07-20,0.4,0.52,0.4,0.52,2752
2009-07-21,0.25,0.5,0.25,0.5,448
2009-07-22,NA,NA,NA,0.5,0
2009-07-23,NA,NA,NA,0.5,0
2009-07-24,0.4,0.4,0.4,0.4,250
2009-07-27,NA,NA,NA,0.4,0
2009-07-28,NA,NA,NA,0.4,0
2009-07-29,NA,NA,NA,0.4,0
